"author","count_publications","nova_author"
"Gonçalves,L",2,"yes"
"Gonçalves,LAP",2,"no"
"Gonçalves,MC",1,"no"
"Gonçalves,R",2,"no"
"GonçalvesSá,J",1,"yes"
"GonzálezDeJulián,S",2,"no"
"GonzálezMorales,MG",2,"no"
"Gouveia,A",3,"yes"
"Gouveia,AF",6,"yes"
"Gouveia,CM",1,"no"
"GouveiaBarros,V",1,"no"
"Graca,J",1,"yes"
"Grácio,M",2,"no"
"Gramacho,F",1,"no"
"Granter,E",1,"no"
"Gregório,MJ",2,"yes"
"Greve,T",2,"no"
"Griffith,DA",2,"no"
"Grosman,A",1,"no"
"Gudergan,S",1,"no"
"Guðjónsson,HV",1,"no"
"GuedesSoares,C",1,"no"
"Guerin,AM",1,"no"
"Guerra,S",2,"yes"
"Guerreiro,J",1,"no"
"Guerreiro,RFC",1,"no"
"Guerreiro,S",1,"yes"
"Gui,DM",1,"no"
"GuillamonSaorin,E",1,"no"
"Guimarães,MH",6,"no"
"Guimarães,P",2,"no"
"GuimarãesCosta,N",3,"yes"
"GuimarãesdaCosta,N",1,"no"
"Guinote,A",5,"yes"
"Gunnarsdottir,S",1,"no"
"Guo,L",1,"no"
"Gupta,S",2,"no"
"Gusmão,R",1,"no"
"Gusmão,RD",1,"no"
"GutiérrezMartínez,I",1,"no"
"Haas,S",1,"no"
"Habib,N",1,"no"
"Hadi,R",1,"no"
"Hadjiyiannis,C",1,"no"
"Hajek,A",1,"no"
"Hakanen,J",1,"no"
"HåkonsenColdevin,G",1,"no"
"Hale,G",1,"no"
"Hall,CJ",1,"no"
"Han,Q",1,"no"
"Harbord,D",2,"no"
"Harris,A",1,"no"
"Hartig,S",1,"no"
"Hartz,Z",2,"no"
"Harvey,A",1,"no"
"Haslam,SA",1,"no"
"Hassani,H",1,"no"
"Hassler,U",2,"no"
"Havik,PJ",1,"no"
"HemonnetGoujot,A",1,"no"
"Herber,C",1,"no"
"HerédiaColaço,V",1,"yes"
"HernándezLinares,R",1,"no"
"Hitzelberger,S",1,"no"
"Hochman,G",1,"no"
"Hoekstra,H",1,"no"
"Hoernig,S",20,"yes"
"Hoernig,SH",1,"yes"
"Hollinshead,G",1,"no"
"Holter,HA",2,"yes"
"Honfi,D",1,"no"
"Hong,Y",1,"no"
"Hortinha,P",1,"no"
"Hu,CP",1,"no"
"Huang,J",1,"no"
"Huart,F",2,"no"
"Huffstot,J",1,"yes"
"Husse,T",1,"no"
"Huszár,ZR",1,"no"
"Iakovleva,TA",1,"no"
"Iannotta,G",1,"no"
"IlhaVillanova,AL",1,"no"
"Ilhéu,C",1,"no"
"Inderst,R",1,"no"
"Isidro,H",4,"no"
"Ismael,F",2,"yes"
"Ivanov,I",1,"no"
"Ivanov,IT",2,"no"
"Iyer,R",1,"no"
"Jacinto,C",1,"no"
"Jacinto,MJ",1,"no"
"Jack,S",1,"no"
"Jaeger,DS",1,"no"
"Jäger,C",1,"no"
"Jahanmir,SF",3,"yes"
"Jalles,JT",43,"yes"
"Jansen,PGW",1,"no"
"Jarvis,WP",2,"no"
"Jay,S",2,"no"
"Jennings,R",1,"no"
"Jingjing,L",1,"no"
"Johnson,SK",1,"no"
"Jordão,F",1,"no"
"Jorgensen,F",1,"no"
"Josserand,E",2,"no"
"JoyGaba,J",1,"no"
"Júlio,P",3,"yes"
"Júnior,DR",3,"no"
"Justino,D",3,"yes"
"Kainz,MJ",1,"no"
"Kamoche,K",1,"no"
"Kandampully,J",1,"no"
"Kang,CM",1,"no"
"Karagonlar,G",2,"no"
"Karehnke,P",1,"no"
"Kastenholz,E",1,"no"
"Kaufmann,D",1,"no"
"Keegan,A",2,"no"
"Kelle,P",1,"no"
"Keller,J",2,"no"
"Kelsey,T",1,"no"
"Kerschreiter,R",1,"no"
"Keswani,A",3,"no"
"Khan,Z",1,"no"
"KilicCelik,S",1,"no"
"Killen,CP",1,"no"
"Kim,M",1,"no"
"Kim,S",1,"no"
"Knoll,M",1,"no"
"Koene,B",1,"no"
"Kohler,HP",1,"no"
"Konetzka,RT",1,"no"
"König,HH",1,"no"
"Kopliku,A",1,"no"
"Kotabe,M",1,"no"
"Kousi,S",1,"yes"
